wavelength,spectrum,dev
1.4691531297117422,1438159.7339485814,125224.27170888858
1.469163631022205,1368934.3077273273,86440.82991534367
1.4691741309344075,1401833.5130073675,69924.94805280725
1.4691846294488788,1441406.0675405036,68798.77087025835
1.4691951265661498,1486270.2976426792,79487.02630158637
1.4692056222867524,1630949.3549630945,117181.33984823861
1.4692161166112163,1691783.6510399596,177370.19629271489
1.4692266095400717,1722109.6090393942,275744.48903670197
1.4692371010738496,1511292.734859759,294435.0513903251
1.46924759121308,1139163.8846193133,118002.82848187174
1.4692580799582928,1203391.3302613983,72622.36406104744
1.469268567310019,1182286.8261640447,47424.018987686264
1.469279053268788,1175295.1326271147,38155.60817729784
1.4692895378351296,1167304.0441770356,33304.97734558915
1.4693000210095748,1174413.4246598098,30680.330963097105
1.4693105027926519,1189383.295241244,29575.286094940002
1.469320983184892,1248303.5678184824,30514.59827717675
1.4693314621868239,1322033.8062109202,31628.909247890882
1.4693419397989773,1335839.531976158,31814.347287704943
1.4693524160218818,1341343.8776488998,31749.876792698964
1.4693628908560674,1316722.9219578388,31969.65009040428
1.4693733643020626,1283523.2834281756,32053.472818079954
1.4693838363603968,1250496.5983948703,33008.22338167273
1.4693943070315991,1236641.7288433677,34167.39452123886
1.469404776316199,1302939.8618800414,36929.69653864377
1.4694152442147255,1307059.4534893269,38190.63291487452
1.4694257107277073,1306573.5383130428,39946.979983276055
1.469436175855673,1435072.7117838995,45694.25074277005
1.469446639599152,1510916.4969564765,53353.62295238976
1.4694571019586726,1482519.0781692644,57595.32800568701
1.469467562934763,1417598.719220133,61805.8526783212
1.4694780225279522,1426629.9702390174,71034.28713334019
1.469488480738769,1527873.4453483678,89409.99251312415
1.4694989375677407,1519765.8549800273,114871.47971157449
1.4695093930153962,1568901.450726289,163334.22819559026
1.469519847082264,1822241.756884695,308667.8955506884
1.4695302997688715,3148091.881060633,1453367.2073559938
1.4695407510757479,3418764.430937067,3648710.6512701064
1.4695512010034197,571454.2110414865,817537.639301323
1.469561649552415,155245.75250019034,4453854.210794476
1.4695720967232628,-529226.3495126626,1460897.8132895639
1.4695825425164897,7521.347854336804,719034.9053356649
1.4695929869326232,-3157295.517001611,15911548.492129086
1.4696034299721914,82886654.79846881,3868254165.4362383
1.469613871635722,1075544.0033856218,3840257.7106514135
1.469624311923742,5166771.836074838,26131756.34925852
1.4696347508367784,8326296.990819338,68278039.33311172
1.4696451883753583,1170637.1369269867,2555441.297723782
1.4696556245400094,-520768.37637798034,3377432.8175185258
1.469666059331259,-7135550.376636882,150491519.52985528
1.4696764927496329,-268954.49148187623,1377459.8625390776
1.4696869247956594,-29727.94284343473,774662.7919068066
1.4696973554698645,-57319.7802861732,654803.8871431518
1.4697077847727749,581211.2361644837,1188934.1329927328
1.469718212704917,1365960.3676868167,1439002.138599837
1.4697286392668178,3690935.425337161,4804364.519228404
1.4697390644590043,1991625.5479902925,652300.1452889536
1.469749488282002,1271308.7935089807,282511.37643754395
1.4697599107363373,1321745.0810783582,222668.55760207406
1.4697703318225364,1353838.5078160567,183337.89819020804
1.4697807515411263,1264907.4207982474,145100.4357339326
1.4697911698926316,1230609.758711176,111983.172229288
1.4698015868775802,1272476.2715090835,85208.98351265889
1.4698120024964965,1328495.499698288,67499.17282529699
1.4698224167499065,1378062.4314944132,55814.18174807156
1.4698328296383367,1311732.2576683583,45099.64510021433
1.4698432411623117,1208672.3219701082,37822.71802245689
1.469853651322358,1115012.4598842566,33522.18756185839
1.4698640601190005,1100080.6237306427,31801.013071394536
1.4698744675527655,1144024.4582143277,32433.09076888884
1.4698848736241772,1211946.4225067142,32410.473396885915
1.4698952783337613,1262545.836943905,30814.48552618937
1.4699056816820433,1286347.3400260757,29083.124706843544
1.4699160836695477,1297130.879717236,27967.011939179833
1.4699264842968,1329068.0257982225,28371.117928628802
1.4699368835643252,1333413.1602275167,28392.09519425983
1.4699472814726473,1312748.93788272,28320.261423254753
1.4699576780222923,1340025.369640392,28826.994235401322
1.4699680732137836,1371229.3151113228,28399.892663959898
1.4699784670476468,1371133.8688993657,27117.972167795848
1.4699888595244066,1368776.8572255424,26049.74828051041
1.469999250644586,1322611.867033092,24373.54668793163
1.4700096404087108,1303019.7969431959,23371.861422944297
1.4700200288173044,1296385.694074936,22672.35905079901
1.470030415870892,1276142.3838550034,22048.705564254582
1.4700408015699964,1280836.238433204,22101.125183624656
1.4700511859151426,1261952.3668734564,21715.785813201033
1.4700615689068537,1243674.7130656557,21039.700406221506
1.4700719505456545,1228731.305864957,20809.010854172535
1.470082330832068,1222763.6748487768,20755.223182140748
1.4700927097666188,1241698.6375055402,20927.746186856533
1.4701030873498298,1239199.6404822133,21046.85528444643
1.470113463582225,1211176.4439023258,20545.967581569243
1.4701238384643271,1180303.2365602932,19736.87971639169
1.4701342119966603,1163455.9366309857,19385.879983424158
1.4701445841797471,1097650.3050193107,18825.41570355864
1.4701549550141115,1075204.667343763,18779.025226055743
1.4701653245002764,1057827.7784694813,18574.379066120764
1.4701756926387646,1065855.1021802179,18555.18514970206
1.4701860594300997,1111661.055908287,18955.17040189446
1.4701964248748036,1094151.8932253688,18836.885055138962
1.4702067889733998,1043308.2327164431,18489.126598204726
1.4702171517264107,1004369.8835171128,18323.005559583467
1.470227513134359,999127.2521520274,18834.958124920042
1.4702378731977677,1054658.4575090762,19651.720312938814
1.4702482319171588,1127136.1814006302,20497.35599829294
1.470258589293055,1177845.274258343,21064.88642979498
1.4702689453259783,1172617.4459349685,21281.316563178258
1.4702793000164514,1187677.1959033285,22134.37193109836
1.4702896533649954,1184669.1483199433,23260.361058749248
1.4703000053721338,1202037.099421378,25240.07952398932
1.4703103560383879,1300072.7953720044,30626.928205829787
1.470320705364279,1372117.0623248604,40530.210457880465
1.47033105335033,1384012.4650253814,61424.725319918805
1.4703413999970625,1507501.4294660033,112840.1072635704
1.4703517453049972,1450684.6374141776,156607.33657298933
1.470362089274657,1926786.2537792744,288408.27594958286
1.4703724319065625,1559617.0830564531,179883.55059364118
1.4703827732012353,1419846.010735256,94095.76900048344
1.4703931131591967,1406166.6814162028,54023.24801484646
1.4704034517809683,1431897.6113415258,40080.799358452154
1.4704137890670708,1433786.1310657596,34383.24814009658
1.4704241250180254,1433637.3876514647,32925.77887312549
1.4704344596343535,1418349.1270489485,32634.71860078181
1.470444792916576,1431847.9238550183,35047.4296799335
1.470455124865213,1369917.1693178858,37719.32309867581
1.470465455480786,1411837.1849533415,45262.72606131119
1.4704757847638157,1438149.6522434924,58462.371617198834
1.4704861127148223,1529014.248542552,90298.03525636549
1.4704964393343265,1793651.229161587,211192.1779119146
1.4705067646228487,2935985.0614520456,1267760.8037208167
1.4705170885809093,-2404244.206729972,2764116.967089652
1.4705274112090285,4165538.8302237224,3559302.7632224644
1.4705377325077265,3065055.208495862,1009174.0104310788
1.4705480524775243,1881281.754517603,267704.31555699883
1.4705583711189403,1648787.2743922812,151501.10198288644
1.4705686884324953,1674302.5929645791,135067.37147556402
1.4705790044187095,1576406.5120467427,122596.9242729787
1.4705893190781019,1766100.1179382664,175919.46310777238
1.4705996324111934,2044029.184369795,253194.74161651192
1.4706099444185021,2200706.1796621066,383892.97347421275
1.4706202551005487,2973132.6734067863,1130411.3884013782
1.4706305644578528,2315665.7708116784,2023949.5585630452
1.4706408724909323,2036072.741884143,9730619.56720593
1.4706511792003079,10287557.490774658,104906636.20997061
1.4706614845864983,-1340157.3230996046,4449425.05423789
1.4706717886500225,-10770592.61659638,55568084.52163216
1.4706820913914003,4001139.8616736396,8138885.941282132
1.4706923928111502,1483050.9173370432,1840037.6560214097
1.4707026929097904,61676398.32297021,8088582767.282978
1.4707129916878405,-50641.60427759515,411415.72616617125
1.470723289145819,-42844.84107603568,408201.1400293028
1.4707335852842451,-1235344.8961580517,1384424.193911753
1.4707438801036365,-277347.3975233248,1225185.4441257839
1.4707541736045124,387904.3081051752,2738383.3355356664
1.4707644657873904,-1696652.7308275513,9777016.92854287
1.4707747566527898,719332.7219284168,1537092.9617514494
1.4707850462012284,-1215555.9205176511,17504229.15077428
1.4707953344332236,-504147.6213645531,3406463.659504795
1.4708056213492946,52466607.74754073,1089975940.8496757
1.4708159069499593,5796447.465776151,10377619.76599628
